CHAVEAMENTOS: 16389
TME: 7344.40
TMR: 26475.10
VAZAO: 0.049879
TERMINO: t1 t2 t3
DIAGRAMA DE EVENTOS
1730 1000 EXEC
1740 1000 QUANTUM_EX
1740 1001 EXEC
1750 1001 QUANTUM_EX
1750 1000 EXEC
1760 1000 QUANTUM_EX
1760 1001 EXEC
1770 1001 QUANTUM_EX
1770 1000 EXEC
1780 1000 QUANTUM_EX
1780 1001 EXEC
1790 1001 QUANTUM_EX
1790 1000 EXEC
1800 1000 QUANTUM_EX
1800 1001 EXEC
1810 1001 QUANTUM_EX
1810 1000 EXEC
1820 1000 QUANTUM_EX
1820 1001 EXEC
1830 1001 QUANTUM_EX
1830 1000 EXEC
1840 1000 QUANTUM_EX
1840 1001 EXEC
1850 1001 QUANTUM_EX
1850 1000 EXEC
1860 1000 QUANTUM_EX
1860 1001 EXEC
1870 1001 QUANTUM_EX
1870 1000 EXEC
1880 1000 QUANTUM_EX
1880 1001 EXEC
1890 1001 QUANTUM_EX
1890 1000 EXEC
1900 1000 QUANTUM_EX
1900 1001 EXEC
1910 1001 QUANTUM_EX
1910 1000 EXEC
1920 1000 QUANTUM_EX
1920 1001 EXEC
1930 1001 QUANTUM_EX
1930 1000 EXEC
1940 1000 QUANTUM_EX
1940 1001 EXEC
1950 1001 QUANTUM_EX
1950 1000 EXEC
1960 1000 QUANTUM_EX
1960 1001 EXEC
1970 1001 QUANTUM_EX
1970 1000 EXEC
1980 1000 QUANTUM_EX
1980 1001 EXEC
1990 1001 QUANTUM_EX
1990 1000 EXEC
2000 1000 QUANTUM_EX
2000 1001 EXEC
2010 1001 QUANTUM_EX
2010 1000 EXEC
2020 1000 QUANTUM_EX
2020 1001 EXEC
2030 1001 QUANTUM_EX
2030 1000 EXEC
2040 1000 QUANTUM_EX
2040 1001 EXEC
2050 1001 QUANTUM_EX
2050 1000 EXEC
2060 1000 QUANTUM_EX
2060 1001 EXEC
2070 1001 QUANTUM_EX
2070 1000 EXEC
2080 1000 QUANTUM_EX
2080 1001 EXEC
2090 1001 QUANTUM_EX
2090 1000 EXEC
2100 1000 QUANTUM_EX
2100 1001 EXEC
2110 1001 QUANTUM_EX
2110 1000 EXEC
2120 1000 QUANTUM_EX
2120 1001 EXEC
2130 1001 QUANTUM_EX
2130 1000 EXEC
2140 1000 QUANTUM_EX
2140 1001 EXEC
2150 1001 QUANTUM_EX
2150 1000 EXEC
2160 1000 QUANTUM_EX
2160 1001 EXEC
2170 1001 QUANTUM_EX
2170 1000 EXEC
2180 1000 QUANTUM_EX
2180 1001 EXEC
2190 1001 QUANTUM_EX
2190 1000 EXEC
2200 1000 QUANTUM_EX
2200 1001 EXEC
2210 1001 QUANTUM_EX
2210 1000 EXEC
2220 1000 QUANTUM_EX
2220 1001 EXEC
2230 1001 QUANTUM_EX
2230 1000 EXEC
2240 1000 QUANTUM_EX
2240 1001 EXEC
2250 1001 QUANTUM_EX
2250 1000 EXEC
2260 1000 QUANTUM_EX
2260 1001 EXEC
2270 1001 QUANTUM_EX
2270 1000 EXEC
2280 1000 QUANTUM_EX
2280 1001 EXEC
2290 1001 QUANTUM_EX
2290 1000 EXEC
2300 1000 QUANTUM_EX
2300 1001 EXEC
2310 1001 QUANTUM_EX
2310 1000 EXEC
2320 1000 QUANTUM_EX
2320 1001 EXEC
2330 1001 QUANTUM_EX
2330 1000 EXEC
2340 1000 QUANTUM_EX
2340 1001 EXEC
2350 1001 QUANTUM_EX
2350 1000 EXEC
2360 1000 QUANTUM_EX
2360 1001 EXEC
2370 1001 QUANTUM_EX
2370 1000 EXEC
2380 1000 QUANTUM_EX
2380 1001 EXEC
2390 1001 QUANTUM_EX
2390 1000 EXEC
2400 1000 QUANTUM_EX
2400 1001 EXEC
2410 1001 QUANTUM_EX
2410 1000 EXEC
2420 1000 QUANTUM_EX
2420 1001 EXEC
2430 1001 QUANTUM_EX
2430 1000 EXEC
2440 1000 QUANTUM_EX
2440 1001 EXEC
2450 1001 QUANTUM_EX
2450 1000 EXEC
2460 1000 QUANTUM_EX
2460 1001 EXEC
2470 1001 QUANTUM_EX
2470 1000 EXEC
2480 1000 QUANTUM_EX
2480 1001 EXEC
2490 1001 QUANTUM_EX
2490 1000 EXEC
2500 1000 QUANTUM_EX
2500 1001 EXEC
2510 1001 QUANTUM_EX
2510 1000 EXEC
2520 1000 QUANTUM_EX
2520 1001 EXEC
2530 1001 QUANTUM_EX
2530 1000 EXEC
2540 1000 QUANTUM_EX
2540 1001 EXEC
2550 1001 QUANTUM_EX
2550 1000 EXEC
2560 1000 QUANTUM_EX
2560 1001 EXEC
2570 1001 QUANTUM_EX
2570 1000 EXEC
2580 1000 QUANTUM_EX
2580 1001 EXEC
2590 1001 QUANTUM_EX
2590 1000 EXEC
2600 1000 QUANTUM_EX
2600 1001 EXEC
2610 1001 QUANTUM_EX
2610 1000 EXEC
2620 1000 QUANTUM_EX
2620 1001 EXEC
2630 1001 QUANTUM_EX
2630 1000 EXEC
2640 1000 QUANTUM_EX
2640 1001 EXEC
2650 1001 QUANTUM_EX
2650 1000 EXEC
2660 1000 QUANTUM_EX
2660 1001 EXEC
2670 1001 QUANTUM_EX
2670 1000 EXEC
2680 1000 QUANTUM_EX
2680 1001 EXEC
2690 1001 QUANTUM_EX
2690 1000 EXEC
2700 1000 QUANTUM_EX
2700 1001 EXEC
2710 1001 QUANTUM_EX
2710 1000 EXEC
2720 1000 QUANTUM_EX
2720 1001 EXEC
2730 1001 QUANTUM_EX
2730 1000 EXEC
2740 1000 QUANTUM_EX
2740 1001 EXEC
2750 1001 QUANTUM_EX
2750 1000 EXEC
2760 1000 QUANTUM_EX
2760 1001 EXEC
2770 1001 QUANTUM_EX
2770 1000 EXEC
2780 1000 QUANTUM_EX
2780 1001 EXEC
2790 1001 QUANTUM_EX
2790 1000 EXEC
2800 1000 QUANTUM_EX
2800 1001 EXEC
2810 1001 QUANTUM_EX
2810 1000 EXEC
2820 1000 QUANTUM_EX
2820 1001 EXEC
2830 1001 QUANTUM_EX
2830 1000 EXEC
2840 1000 QUANTUM_EX
2840 1001 EXEC
2850 1001 QUANTUM_EX
2850 1000 EXEC
2860 1000 QUANTUM_EX
2860 1001 EXEC
2870 1001 QUANTUM_EX
2870 1000 EXEC
2880 1000 QUANTUM_EX
2880 1001 EXEC
2890 1001 QUANTUM_EX
2890 1000 EXEC
2900 1000 QUANTUM_EX
2900 1001 EXEC
2910 1001 QUANTUM_EX
2910 1000 EXEC
2920 1000 QUANTUM_EX
2920 1001 EXEC
2930 1001 QUANTUM_EX
2930 1000 EXEC
2940 1000 QUANTUM_EX
2940 1001 EXEC
2950 1001 QUANTUM_EX
2950 1000 EXEC
2960 1000 QUANTUM_EX
2960 1001 EXEC
2970 1001 QUANTUM_EX
2970 1000 EXEC
2980 1000 QUANTUM_EX
2980 1001 EXEC
2990 1001 QUANTUM_EX
2990 1000 EXEC
3000 1000 QUANTUM_EX
3000 1001 EXEC
3010 1001 QUANTUM_EX
3010 1000 EXEC
3020 1000 QUANTUM_EX
3020 1001 EXEC
3030 1001 QUANTUM_EX
3030 1000 EXEC
3040 1000 QUANTUM_EX
3040 1001 EXEC
3050 1001 QUANTUM_EX
3050 1000 EXEC
3060 1000 QUANTUM_EX
3060 1001 EXEC
3070 1001 QUANTUM_EX
3070 1000 EXEC
3080 1000 QUANTUM_EX
3080 1001 EXEC
3090 1001 QUANTUM_EX
3090 1000 EXEC
3100 1000 QUANTUM_EX
3100 1001 EXEC
3110 1001 QUANTUM_EX
3110 1000 EXEC
3120 1000 QUANTUM_EX
3120 1001 EXEC
3130 1001 QUANTUM_EX
3130 1000 EXEC
3140 1000 QUANTUM_EX
3140 1001 EXEC
3150 1001 QUANTUM_EX
3150 1000 EXEC
3160 1000 QUANTUM_EX
3160 1001 EXEC
3170 1001 QUANTUM_EX
3170 1000 EXEC
3180 1000 QUANTUM_EX
3180 1001 EXEC
3190 1001 QUANTUM_EX
3190 1000 EXEC
3200 1000 QUANTUM_EX
3200 1001 EXEC
3210 1001 QUANTUM_EX
3210 1000 EXEC
3220 1000 QUANTUM_EX
3220 1001 EXEC
3230 1001 QUANTUM_EX
3230 1000 EXEC
3240 1000 QUANTUM_EX
3240 1001 EXEC
3250 1001 QUANTUM_EX
3250 1000 EXEC
3260 1000 QUANTUM_EX
3260 1001 EXEC
3270 1001 QUANTUM_EX
3270 1000 EXEC
3280 1000 QUANTUM_EX
3280 1001 EXEC
3290 1001 QUANTUM_EX
3290 1000 EXEC
3300 1000 QUANTUM_EX
3300 1001 EXEC
3310 1001 QUANTUM_EX
3310 1000 EXEC
3320 1000 QUANTUM_EX
3320 1001 EXEC
3330 1001 QUANTUM_EX
3330 1000 EXEC
3340 1000 QUANTUM_EX
3340 1001 EXEC
3350 1001 QUANTUM_EX
3350 1000 EXEC
3360 1000 QUANTUM_EX
3360 1001 EXEC
3370 1001 QUANTUM_EX
3370 1000 EXEC
3380 1000 QUANTUM_EX
3380 1001 EXEC
3390 1001 QUANTUM_EX
3390 1000 EXEC
3400 1000 QUANTUM_EX
3400 1001 EXEC
3410 1001 QUANTUM_EX
3410 1000 EXEC
3420 1000 QUANTUM_EX
3420 1001 EXEC
3430 1001 QUANTUM_EX
3430 1000 EXEC
3440 1000 QUANTUM_EX
3440 1001 EXEC
3450 1001 QUANTUM_EX
3450 1000 EXEC
3460 1000 QUANTUM_EX
3460 1001 EXEC
3470 1001 QUANTUM_EX
3470 1000 EXEC
3480 1000 QUANTUM_EX
3480 1001 EXEC
3490 1001 QUANTUM_EX
3490 1000 EXEC
3500 1000 QUANTUM_EX
3500 1001 EXEC
3510 1001 QUANTUM_EX
3510 1000 EXEC
3520 1000 QUANTUM_EX
3520 1001 EXEC
3530 1001 QUANTUM_EX
3530 1000 EXEC
3540 1000 QUANTUM_EX
3540 1001 EXEC
3550 1001 QUANTUM_EX
3550 1000 EXEC
